theme3_id,theme_label,target_mode,claim_type_mode,first_date,last_date,c2_clusters_merged,claim_occurrences,distinct_horizon_values,horizon_shift_detected,horizon_shift_type,certainty_shift,goalpost_shift_score,goalpost_shift_flag,cluster2_ids,representative_quote
theme3_1421096bca2e,scaling_limits,general_ai,descriptive,2023-02-11,2025-12-09,6,6,,no,none,hardened,0,no,cluster2_193ea7785809;cluster2_510715dd4d30;cluster2_99732fe669f0;cluster2_a33bb1b67f02;cluster2_aa9291a8403d;cluster2_de63f02252a7,"As Brenden Lake and Greg Murphy have put it , that’s not enough, “Current models are too strongly linked to the text-based patterns in large corpora, and too weakly linked to the desires, goals, and beliefs that people express through words.” The act of referring involves (at least) the speaker, the utterance, the context, and some properties of the external world; the interactions and dependencie s between such things simply are not present in most current AI models."
theme3_b0820e15e283,regulation_policy,regulation,descriptive,2023-11-20,2025-12-13,6,6,,no,none,stable,0,no,cluster2_02d29a221c41;cluster2_3957ce962c19;cluster2_4936d6eeff04;cluster2_67c020f6b6eb;cluster2_dcfeb9f67d60;cluster2_e7a75c4d7556,"The schisms on display there highlight the fact that we cannot rely purely on the companies to self-regulate AI, wherein even their own internal governance can be deeply conflicted."
theme3_4fc5744321e5,reasoning_common_sense,agi,normative,2022-05-29,2025-12-17,4,5,,no,none,stable,0,no,cluster2_4baf3df608c6;cluster2_5e23c120516b;cluster2_6e35d15ac55b;cluster2_f4a43112a11a,"The bottom line is this, something that AI once cherished but has now forgotten: If we are to build AGI, we are going to need to learn something from humans, how they reason and understand the physical world, and how they represent and acquire language and complex concepts."
theme3_fa38c07be4e7,safety_alignment,general_ai,normative,2023-11-25,2026-02-26,5,5,2014-12-31,no,more_specific_over_time,hardened,0,no,cluster2_008bc7b600e9;cluster2_04615a662780;cluster2_60a0f9ed211a;cluster2_92b7579849eb;cluster2_96ba65e917af,"The point of AI should not be to replicate us, but to supplement us, where we are cognitively frail (calculators are great at that! and spreadsheets! and databases!), and to pitch where we would prefer not to go, helping us, for example, with jobs that robotics call “dull, dirty, and dangerous”."
theme3_5050e9c2cf3b,safety_alignment,regulation,descriptive,2023-06-08,2026-02-01,5,5,,no,none,stable,0,no,cluster2_5f80d701097a;cluster2_614bae93ae1b;cluster2_ba7cbfcacafb;cluster2_fead9e87127d;cluster2_ff49e921456d,"We would never leave the pharmaceutical industry to entirely self-regulate itself, and we shouldn’t leave AI to do so, either."
theme3_33ffa6bb38e1,reasoning_common_sense,llms,descriptive,2023-02-16,2025-07-13,5,5,,no,none,stable,0,no,cluster2_0ede029933af;cluster2_1acc111c3150;cluster2_34d419139435;cluster2_9ce2b8d7c8f0;cluster2_bdefaec735b3,"ChatGPT simply cannot reason well enough to to do this; as I have documented in previous essays, it has demonstrably misunderstood physics, biology, psychology, medicine, and so forth."
theme3_68780a9144b2,regulation_policy,llms,predictive,2023-03-12,2025-11-27,5,5,,no,none,stable,0,no,cluster2_21c3d484f9ed;cluster2_50a8e9851315;cluster2_8222239b1e41;cluster2_91b8e5a6bd69;cluster2_9c1463221761,"Furthermore, since this is a matter of principle, irremediable, if they improve their performance for language it only reveals more clearly their fundamental and irremediable flaws, since by the same token they will improve their performance for impossible systems.” For elaboration., see my earlier essay Chomsky and GPT-3, The Road to AI We Can Trust Noam Chomsky and GPT-3 “You can’t go to a physics conference and say: I’ve got a great theory."
theme3_8f587a704cfd,hallucination_misinformation,llms,normative,2024-03-15,2026-01-06,5,5,,no,none,hardened,0,no,cluster2_22f2430375b0;cluster2_2e7b3f41ca16;cluster2_34249504c774;cluster2_3e1007c9fc35;cluster2_76372dca5fa4,"Here’s another blatant example: In my opinion, every article with ChatGPT remnants should be considered suspect and perhaps retracted, because hallucinations may have filtered in, and both authors and reviewers) were asleep at the switch."
theme3_97d445ef04e0,hallucination_misinformation,general_ai,descriptive,2023-02-13,2023-08-28,4,4,,no,none,stable,0,no,cluster2_14234e3f0b9f;cluster2_23e996fd8041;cluster2_26c69fbd193d;cluster2_b92f970c5190,He's done really good work in experimental psychology but he's never written a peer-reviewed paper on AI”— which is simply false.
theme3_2ea498a89294,hallucination_misinformation,general_ai,normative,2023-02-15,2026-02-25,4,4,,no,none,hardened,0,no,cluster2_164a49e07c6c;cluster2_508dd52080f1;cluster2_80773baf99b8;cluster2_859692bfa6d7,"The core of that threat comes from the combination of three facts: • these systems are inherently unreliable, frequently making errors of both reasoning and fact, and prone to hallucination ; ask them to explain why crushed porcelain is good in breast milk , and they may tell you that “porcelain can help to balance the nutritional content of the milk, providing the infant with the nutrients they need to help grow and develop”."
theme3_0ec6975bae97,scaling_limits,general_ai,normative,2024-09-10,2026-02-10,4,4,2025-12-31,no,more_specific_over_time,stable,0,no,cluster2_24be6bd7e57a;cluster2_605278c9f936;cluster2_d8056cd314e2;cluster2_da476509fbf6,"You should be watching to see what the candidates plan to do about fraud and disinformation, as AI contributes to escalation in both."
theme3_91c95a37e045,scaling_limits,agi,descriptive,2023-02-11,2025-06-17,4,4,,no,none,stable,0,no,cluster2_8856c7821143;cluster2_c02cc3bc55e0;cluster2_cc88f226a5e0;cluster2_f87f255521e1,"In inaccurately portraying me as a lone crusader, Alexander has not given the scaling is not enough for AGI view the “steelman” treatment that he is known for delivering."
theme3_35dcaa96810a,safety_alignment,openai,predictive,2023-11-19,2024-08-23,4,4,2019-12-31,no,more_specific_over_time,stable,0,no,cluster2_1df91ebe1fd2;cluster2_b06afaa97de9;cluster2_e0da293833a4;cluster2_ebd6844e45f6,They may well get their way. 4 vital questions: 👉Will the nonprofit continue to exist? 👉What checks and balances will there be? 👉Where will this leave OpenAI with respect to safety? 👉Where will this leave humanity?
theme3_c34d7523982e,hallucination_misinformation,ai_safety,normative,2023-02-15,2026-01-23,4,4,,no,none,hardened,0,no,cluster2_63c0d11bf0da;cluster2_9189302c300c;cluster2_bb194fcceff8;cluster2_c54762b5a04d,"Second, every country is going to need to reconsider its policies on misinformation."
theme3_bf5474b08c03,hallucination_misinformation,ai_safety,descriptive,2023-03-11,2025-11-18,4,4,,no,none,stable,0,no,cluster2_be58541af130;cluster2_eb7d8c8f019a;cluster2_ec2cf1d0b43b;cluster2_f8947344e144,Chat-style search’s tendency to hallucinate is likely to accidentally produce medical misinformation.
theme3_2a82b0d65531,safety_alignment,general_ai,predictive,2023-10-26,2025-05-22,2,3,,no,none,stable,0,no,cluster2_1629c3724245;cluster2_8645fac9fb70,"I don’t know when we will get to such machines, but I do know that we don’t have tons of controls over current AI, especially now that people can hook them up to TaskRabbit and real-world software APIs."
theme3_374373bb7ddc,regulation_policy,general_ai,normative,2023-09-21,2025-07-13,2,3,2018-12-31,no,more_specific_over_time,stable,0,no,cluster2_c33a476fdc05;cluster2_db8548158e8f,"Governments across the globe have stepped up their game, holding public hearings (great!) and closed-door meetings (hmm) trying to figure out what we should about AI."
theme3_2f0d82369632,market_hype_bubble,general_ai,descriptive,2023-02-13,2025-12-17,3,3,,no,none,hardened,0,no,cluster2_027cfbb77512;cluster2_4f95bed562f8;cluster2_b2062e06a8e5,"Kohane recalled the “AI Winter” of the 1980s, in which funding abruptly dropped after expectations were not met, and fears we could wind up with another, similar crash if we are not realistic about what is and is not feasible."
theme3_d74dcfc359c8,safety_alignment,general_ai,descriptive,2023-03-18,2025-11-19,3,3,,no,none,hardened,0,no,cluster2_3018ca55d793;cluster2_6efac2e4d22b;cluster2_6fc1a791be15,"Here’s some first-class AI doublespeak, straight from the Ministry of Damage Control, mostly from just this past week: CNBC Headline Except when those wrong answers are not."
theme3_1f57bba83c5b,hallucination_misinformation,regulation,descriptive,2023-07-08,2024-12-08,3,3,,no,none,hardened,0,no,cluster2_5d86034182c7;cluster2_7f1e7c8e0e8c;cluster2_d87809b33ce1,"Many of us have also become worried about the possibility of regulatory capture , and whether shrewd executives at the major tech companies might induce governments to alight on regulation that ultimately does more harm than good, keeping out smaller players, and entrenching Big Tech’s own status, while doing little to address the underlying risks, such as around misinformation and cybercrime."
theme3_0d3613992fa7,reasoning_common_sense,llms,causal,2023-03-25,2025-03-28,3,3,,no,none,stable,0,no,cluster2_4ddc84e3f62a;cluster2_79763e836e69;cluster2_bbc1e7396964,"The paper’s core claim— “GPT-4 attains a form of general intelligence [as] demonstrated by its core mental capabilities (such as reasoning, creativity, and deduction)”—literally cannot be tested with serious scrutiny, because the scientific community has no access to the training data."
theme3_cefbd7e78334,regulation_policy,llms,descriptive,2023-08-13,2026-01-06,3,3,,no,none,stable,0,no,cluster2_446eed0d8f6d;cluster2_706b8743785d;cluster2_7d2e98f1bc98,"A lawyer who used ChatGPT for legal research was excoriated by a judge, and basically had to promise, in writing, never to do so again in an unsupervised way."
theme3_84ad1984d6b1,hallucination_misinformation,openai,predictive,2023-11-26,2025-12-01,3,3,,no,none,stable,0,no,cluster2_7b2739eefbc4;cluster2_806f90c5d70b;cluster2_e4292691b51f,"(And if the OpenAI staff leaves, nobody will offer much for what’s left over.) There has never been a solution to the hallucination problem, and it’s not clear that there will be until we find a new paradigm, as Altman himself partly acknowledged last week, when he did his best Gary Marcus impression ."
theme3_7536106433d4,reasoning_common_sense,ai_safety,descriptive,2024-06-07,2025-02-26,3,3,,no,none,stable,0,no,cluster2_0119bbc834eb;cluster2_59cf8b13bb86;cluster2_602f3619d47e,"It does, for example, ask that companies take reasonable measures to ensure that their products are not hazardous and to safety-test their products – something that 7 companies already swore on their pinkies to President Biden to do."
theme3_c49097e81ee1,self_driving_robotics,llms,normative,2023-10-26,2024-02-12,1,2,,no,none,stable,0,no,cluster2_3d0b79a7b24d,"We need to stop worrying (just) about Skynet and robots taking over the world, and think a lot more about what criminals, including terrorists, might do with LLMs, and what, if anything, we might do to stop them."
theme3_a4a7b7572183,agents_reliability,general_ai,descriptive,2025-04-16,2025-05-22,2,2,2027-12-31,no,more_specific_over_time,hardened,0,no,cluster2_143b0ecf5135;cluster2_808cb86f4cb2,“This isn't the first time we've seen outcomes that suggest some of the ambitious ideas about AI agents directly replacing developers are pretty far from reality.
theme3_7645c65073c8,agents_reliability,general_ai,causal,2025-05-22,2025-08-03,2,2,,no,none,hardened,0,no,cluster2_1b52e98783eb;cluster2_5bdcdd29b6cb,"This bakes in a basic personality and “drives.” 20 For example, an agent that understands a task clearly is more likely to complete it successfully; over the course of training the model “learns” a “drive” to get a clear understanding of its tasks."
theme3_1a14a35b5ae3,hallucination_misinformation,google,descriptive,2023-11-03,2025-10-16,2,2,,no,none,hardened,0,no,cluster2_a33a1d9604c3;cluster2_db8de8127c82,"Nobody knows for SURE that there are no serious possible consequences of open source AI, e.g in terms of bioweapons, misinformation generation etc, as Séb Krier at DeepMind nicely highlights above. 2."
theme3_847967e079b6,hallucination_misinformation,agi,normative,2023-05-01,2025-03-05,2,2,,no,none,stable,0,no,cluster2_337b553dfbd3;cluster2_92e0a665743f,"I’ve been writing with urgency about my concerns about the contributions of large language models misinformation , and my concerns about how bad actors might misuse AI, and in my essay AI risk ≠ AGI risk , argued that we should worry about both near-term and long-term risks."
theme3_b0a943ac0bbb,scaling_limits,agi,causal,2024-12-08,2025-03-14,2,2,,no,none,hardened,0,no,cluster2_3a0c187dede9;cluster2_a6c7fd28f419,"It is entirely possible to (a) be skeptical that we can simply scale LLMs to AGI, (b) be doubtful of the overall business model for LLMs given the lack of moat etc, and also (c) think that these tools are already powerful (though unreliable and untrustworthy) and therefore dangerous."
theme3_0f76f2088106,scaling_limits,agi,normative,2025-03-05,2025-08-09,2,2,,no,none,hardened,0,no,cluster2_65331ba8b10b;cluster2_9742f5c680c6,"If getting to AGI in the next three years is not quite as certain as the sun rising every day from the east, we might want to hedge our bets, and try to focus on what the field of AI need to develop besides scaling."
theme3_ef9572842556,reasoning_common_sense,llms,normative,2023-02-15,2025-04-17,2,2,,no,none,stable,0,no,cluster2_b0d4d50e1f10;cluster2_cf499e326344,"Large language models lack mechanisms for verifying truth; we need to find new ways to integrate them with the tools of classical AI, such as databases, webs of knowledge, and reasoning."
theme3_d1fa2955645a,hallucination_misinformation,llms,causal,2024-02-06,2025-08-04,2,2,,no,none,hardened,0,no,cluster2_af41a1944010;cluster2_b9162075d79b,"Hallucination errors in LLMs are not a problem, because people hallucinate, too."
theme3_833be3ff31bb,agents_reliability,llms,predictive,2024-02-10,2025-08-03,2,2,,no,none,hardened,0,no,cluster2_0f7e86c0aac1;cluster2_1e5894a5de3b,"One screwup (and we all know LLMs are prone to screwups) and a LOT of people could die. § In the very best case, LLM-based agents will change the world for the better."
theme3_a4bd807a6b2f,scaling_limits,llms,descriptive,2025-02-13,2026-01-06,2,2,,no,none,stable,0,no,cluster2_79ad084eff6d;cluster2_eef3c2f9bb36,"Instead, he rechristened Orion as GPT 4.5 rather than 5, which likely means that despite major bills, Orion never met the expectations so-called scaling laws had implied."
theme3_4092af813ca4,regulation_policy,llms,normative,2025-04-03,2025-12-13,2,2,,no,none,hardened,0,no,cluster2_db6b9df02092;cluster2_ee9f6b10a5ec,"The best estimate of the loss from tariff policy is now is closer to $30 trillion or $300,000 per family of four. – Lawrence Summers, former US Treasury Secretary The near-universal consensus is that President Trump’s new tariff policy ( quite possibly partly written by LLMs ) is likely to be among the worst economic policies in history."
theme3_b06f891704cc,openai_governance,openai,causal,2023-02-11,2023-04-28,2,2,near_term,no,more_specific_over_time,stable,0,no,cluster2_2520e66c37cf;cluster2_d3f730c0ac53,"When OpenAI asked InstructGPT, the latest, greatest version of GPT-3, “Why is it important to eat socks after meditating?” the system simply made up a sentence and said “ Some experts believe that the act of eating a sock helps the brain to come out of its altered state as a result of meditation .”, never consulting a cognitive model of what experts believe, because the system has no such model in the first place."
theme3_0f1476ce91f4,reasoning_common_sense,openai,descriptive,2024-02-04,2025-07-13,2,2,,no,none,stable,0,no,cluster2_94044be77927;cluster2_9f01c504643b,"According to media reports like Bloomberg’s , there is not much to worry about here: OpenAI’s most powerful artificial intelligence software, GPT-4, poses “at most” a slight risk of helping people create biological threats, according to early tests the company carried out to better understand and prevent potential “ catastrophic ” harms from its technology I am here to tell you that OpenAI’s research, analyzed carefully, shows no such thing, and that there is plenty of reason to be concerned."
theme3_4d4c7585d973,regulation_policy,openai,predictive,2024-02-06,2024-08-23,2,2,,no,none,stable,0,no,cluster2_318d5d179c5f;cluster2_9621db5a628f,"LLMs don’t store things in simple databases, but when presented with enough data, their regeneration of distributed bits has demonstrably duplicated lengthy training materials multiple times, a phenomenon that is called memorization in the field. 2 OpenAI will no doubt by now have filtered this specific example so that it can no longer be replicated, now that it has appeared in a lawsuit."
theme3_d59b750b4574,reasoning_common_sense,openai,normative,2024-02-11,2025-07-13,2,2,2025-12-31,no,more_specific_over_time,stable,0,no,cluster2_1fa4dc86a1aa;cluster2_d926be18ff5c,"In asking for $7 trillion, it is pretty obvious to most that Sam Altman has jumped the shark . § Here are seven reasons why we should gather together to tell the aspiring young CEO that the world does not—and should not—revolve around him: Energy and Climate : $7 trillion worth of AI infrastructure used to full capacity would use (in precise technical terms) a metric shit ton of energy."
theme3_f099539befa0,hallucination_misinformation,meta,descriptive,2023-08-27,2024-04-06,2,2,2022-12-31,no,more_specific_over_time,hardened,0,no,cluster2_4a7deca387e0;cluster2_8b7b3eacddc2,"Unfortunately, LeCun gives us no hint as how to we might, and no guarantee that doing so is even possible. 2 When I think about how poor his company (Meta) is even at making LLMs that don’t hallucinate, I get worried."
theme3_4c6df10ac954,agi_timeline,general_ai,normative,2022-05-29,2022-05-29,1,1,,no,none,stable,0,no,cluster2_401055abd424,"For many decades, part of the premise behind AI was that artificial intelligence should take inspiration from natural intelligence ."
theme3_e35c4f9a12f0,copyright_ip,general_ai,normative,2023-02-18,2023-02-18,1,1,,no,none,stable,0,no,cluster2_021ce84274ec,"In adding an example, the model that generated it, a brief description of the error, and either a screenshot or the text of the example are required, and, for verification purposes, you must supply an email address, which is not published."
theme3_ad215ff54ca7,scaling_limits,general_ai,causal,2023-04-09,2023-04-09,1,1,,no,none,stable,0,no,cluster2_4ce0672a5316,"If China wins the AI war it will be partly because of data, partly because of choices about how to allocate resources, and partly because they ultimately do a better job educating their citizens and become the first to invent something new, and not because they scale up the exciting but rickety contraption that’s currently obsessing the West."
theme3_419123be14a2,regulation_policy,general_ai,descriptive,2023-09-21,2023-09-21,1,1,,no,none,stable,0,no,cluster2_348d7e9a9513,"I have been accused of trying to hype AI (certainly not my intention), people have miscontrued the letter as banning all AI research (which is not what it called for, and not something I would support), and so on ."
theme3_4fd1eed54bd2,self_driving_robotics,general_ai,predictive,2023-10-27,2023-10-27,1,1,,no,none,stable,0,no,cluster2_9abb9fd7e403,"I do still think that reliable self-driving cars will emerge, and eventually be safer than humans, who can get distracted, become tired and so forth."
theme3_3d0db8f9faae,openai_governance,general_ai,descriptive,2024-03-06,2024-03-06,1,1,,no,none,stable,0,no,cluster2_b4d04c50df82,"(Never mind that they now sell a far more capable model at competitive prices.) In effort to slap back at Musk they posted the email below from cofounder Ilya Sutskever to Musk, just three weeks after the beautiful initial mission statement."
theme3_8ac582808fb4,copyright_ip,general_ai,causal,2024-10-05,2024-10-05,1,1,,no,none,stable,0,no,cluster2_b518daf70d2c,"In a brief aside in a recent interview, Eric Schmidt argued that, despite AI’s rapacious energy demands, he would rather bet on AI solving the problem than try to constrain AI : In the 2 minute clip, Schmidt concludes “My own opinion is that we’re not going to hit the climate goals anyway because we are not organized to do it and yes the needs in this area [AI] will be a problem."
theme3_bcade1f0ce6f,openai_governance,general_ai,predictive,2025-02-11,2025-02-11,1,1,,no,none,stable,0,no,cluster2_4d7d9ce90739,"Since they were first to lay out what a conversion to nonprofit might entail, I will give them the last words, heartily agreeing their closing sentence: Gary Marcus ’ efforts to detach himself from the daily AI news are going poorly."
theme3_d623e8944184,market_hype_bubble,general_ai,normative,2025-03-09,2025-03-09,1,1,,no,none,stable,0,no,cluster2_ca219014d6cb,"The AI Hype Hall of Fame, as envisioned by Grok “ We should stop training scientists now."
theme3_c0445b574603,hallucination_misinformation,general_ai,causal,2025-03-27,2025-03-27,1,1,,no,none,stable,0,no,cluster2_fc2d869aecdb,"Agents will be a disappointment, precisely because of all of the ongoing reliability and hallucination issues."
theme3_fb1e8f4c72f2,agi_timeline,general_ai,descriptive,2025-05-22,2025-05-22,1,1,2027-12-31,no,none,stable,0,no,cluster2_86b0e81b6610,"Overall, then, the AI 2027 scenario almost certainly underestimates how much time we have to prepare for general intelligence, by years if not decades. 2 And some of what they describe (like AI’s going rogue, completely beyond human control) might never happen."
theme3_e38d5e6599b8,self_driving_robotics,general_ai,descriptive,2025-07-15,2025-07-15,1,1,,no,none,stable,0,no,cluster2_25e43ffb3c51,"Is it possible that a poorly constructed AI fueling a worldwide fleet of robots could go truly, horribly wrong?"
theme3_ab190e6108e8,reasoning_common_sense,general_ai,causal,2026-01-06,2026-01-06,1,1,,no,none,stable,0,no,cluster2_9edbc6e463bb,"LeCun talks about world models, but (because of what appears to be an ego-related mental block against classical symbolic AI, which he has always allied himself against) I don’t think LeCun actually understands what a world model needs to be."
theme3_08ea1f8f4bfc,reasoning_common_sense,google,descriptive,2022-05-29,2022-05-29,1,1,,no,none,stable,0,no,cluster2_6d7cf5526dbb,"DeepMind’s newest star, just unveiled, Gato , is capable of cross-modal feats never seen before in AI, but still, when you look in the fine print, remains stuck in the same land of unreliability, moments of brilliance coupled with absolute discomprehension: Of course, it’s not uncommon for defenders of deep learning to make the reasonable point that humans make errors, too."
theme3_9d3a3aa0a56f,self_driving_robotics,google,normative,2023-02-17,2023-02-17,1,1,,no,none,stable,0,no,cluster2_2c0586cae5c3,"Not sure it is coincidence; my flight is about to take off but a quick note, on three major bits of AI news: Tesla FSD recall, today Google stock drop after Bard fiasco, last week Microsoft must be having a code red over the Bing meltdowns, especially with the bizarre conversation between Bing and Kevin Roose at NYT. perhaps the product might get paused?"
theme3_4c05ee8245b3,self_driving_robotics,google,descriptive,2023-02-17,2023-02-17,1,1,,no,none,stable,0,no,cluster2_524670a17076,"Tesla recall, MSFT Bing fail, and Google Bard fail are NOT independent; each reflect the fact that you cannot build AI in the real world from Big Data and deep learning alone."
theme3_c20b717d1357,hallucination_misinformation,google,predictive,2023-08-13,2023-08-13,1,1,near_term,no,none,stable,0,no,cluster2_bd8a1793e8d5,"Perhaps the only use case that really seemed compelling to either of us economically was search (e.g., using Bing powered by ChatGPT instead of Google Search) — but the technical problems there are immense; there is no reason to think that the hallucination problem will be solved soon."
theme3_0b8a4f26a16f,hallucination_misinformation,google,normative,2024-04-06,2024-04-06,1,1,2022-12-31,no,none,stable,0,no,cluster2_61dd4ed7fae2,"Among many other essays was my December 10, 2022 essay on AI’s Jurassic Park moment (“New systems like chatGPT are enormously entertaining, and even mind-boggling, but also unreliable, and potentially dangerous.”), an essay in The Atlantic (“Bad actors could seize on large language models to engineer falsehoods at unprecedented scale.”), and my warning that Google should worry about polluting its own well (“How sewers of lies could spell the end of web search”)."
theme3_16db13f00387,reasoning_common_sense,google,causal,2025-01-01,2025-01-01,1,1,,no,none,stable,0,no,cluster2_70de267b3de7,"(Google’s Veo 2 seems to be better but I have not been able to experiment with it, and suspect that changes of state and the persistence of objects will still cause problems; a separate not-yet-fully released hybrid system called Genesis that works on different principles looks potentially interesting.) Neurosymbolic AI will become much more prominent ."
theme3_c1d277607edd,reasoning_common_sense,google,normative,2025-01-05,2025-01-05,1,1,,no,none,stable,0,no,cluster2_41505c80640e,"Typical example of an AI struggling with common sense, via Gur Kimchi who asked Google’s AI Overview “How many elephants can fit an Olympic pool?” “There must be a way out of here,"" said the joker to the thief, ""There's too much confusion, I can't get no relief.” — Bob Dylan John McCarthy, one of the true godfathers of AI, and the person who actually coined the term Artificial Intelligence, is rarely mentioned nowadays."
theme3_fc9bd1ed6aeb,scaling_limits,google,predictive,2025-02-13,2025-02-13,1,1,,no,none,stable,0,no,cluster2_e75366411560,"A security and privacy researcher who works for Google DeepMind (but who spoke for herself, not the company) spelled it out : § As I have always said, AI will go on; the death of pure scaling is not the death of AI."
theme3_66474188f998,market_hype_bubble,google,predictive,2025-12-01,2025-12-01,1,1,2024-12-31,no,none,stable,0,no,cluster2_f436f9361ae6,"By one estimate , Meta, Amazon, Microsoft, Google, and Tesla will by the end of this year have collectively spent $560 billion on AI-related capital expenditures since the beginning of 2024 and have brought in just $35 billion in AI-related revenue."
theme3_c36d63426d0a,market_hype_bubble,google,descriptive,2025-12-01,2025-12-01,1,1,,no,none,stable,0,no,cluster2_7e207889d450,"Steven Witt wrote in the New Yorker “ I think ChatGPT is maybe the most successful internet product in history. ”, overlooking a series of product like Amazon.com, Facebook, and Google’s search engine that have seen broader adoption and far greater profits."
theme3_884d8ba6d388,hallucination_misinformation,agi,predictive,2023-11-17,2023-11-17,1,1,near_term,no,none,stable,0,no,cluster2_d27a89f2e49d,"I had the temerity to argue, right in the middle of an AI explosion, that (a) scale was not everything; (ii) we had no serious solution to problems of compositionality (understanding whole in terms of their parts); (iii) hallucinations were not going away; (iv) reliability would continue to be a problem; (v) misinformation and factuality were unsolved and unlikely to be solved soon; and (vi) large language models would not get us to AGI and that we needed a new paradigm."
theme3_7e42adbbe8cc,hallucination_misinformation,agi,descriptive,2024-10-20,2024-10-20,1,1,,no,none,stable,0,no,cluster2_fe84bf7dcb06,"But then again, their products have always been served with large side order of bullshit, like when Sam said, apparently jokingly, that “AGI has been achieved internally”."
theme3_a6b68bc85bcf,reasoning_common_sense,agi,descriptive,2025-07-13,2025-07-13,1,1,2022-12-31,no,none,stable,0,no,cluster2_8c51df2a2f06,"(Few seem to have noticed the irony that came a few years later, when LeCun ultimately came around to making almost exactly the same points I was making then, declaring, e.g., that pure LLMs are not an adequate route to AGI, and emphasizing their limits in reasoning .) § The story was similar when my 2022 article Deep Learning is Hitting a Wall came out."
theme3_c41ab86ca4e1,reasoning_common_sense,regulation,causal,2023-08-28,2023-08-28,1,1,,no,none,stable,0,no,cluster2_5fe79b9f878c,"The number one reason I hear for not regulating AI is that if we do China will beat us, and if China beats us, we are all screwed, because they would use AI to different ends than we would."
theme3_174bb7f1a1a1,regulation_policy,regulation,causal,2024-06-28,2024-06-28,1,1,,no,none,stable,0,no,cluster2_2ad7f8b1ba89,"The markers that our next President puts down—about how much liability and responsibility companies will have, and about how the government keeps up with a rapidly changing technology— will have lasting impact. § The need for a President that speaks AI natively is more and more pressing because there has recently been a subtle shift in how the big tech companies are hyping AI."
theme3_a54614512de5,scaling_limits,regulation,descriptive,2024-11-10,2024-11-10,1,1,2022-12-31,no,none,stable,0,no,cluster2_5ce1c6819c0b,"We had discovered a new square in the periodic table” But, as I have been saying since 2022’s “ Deep Learning is Hitting a Wall ”, scaling laws” are not physical laws."
theme3_79c4816299f2,scaling_limits,regulation,normative,2024-11-24,2024-11-24,1,1,,no,none,stable,0,no,cluster2_2b80f447291a,"The new version is that there is not one scaling law, but three: scaling with how long you train a model (which isn’t really holding anymore), scaling with how long you post-train a model, and scaling with how long you let a given model wrestle with a given problem (or what Satya Nadella called scaling with “inference time compute”)."
theme3_4cd923f75a30,safety_alignment,regulation,predictive,2025-01-01,2025-01-01,1,1,,no,none,stable,0,no,cluster2_a703fcb5b101,"Profits from AI models will continue to be modest or nonexistent (chip-making companies will continue to do well though, in supplying hardware to the companies that build the models; shovels will continue to sell well throughout the gold rush.) The US will continue to have very little regulation protecting its consumers from the risks of generative AI."
theme3_1c72faf37cd5,agi_timeline,regulation,normative,2025-05-14,2025-05-14,1,1,within_10_years,no,none,stable,0,no,cluster2_04892b0d53be,"If you are among the 82% of Americans who think AI needs oversight, you need to call or write your Congress members now, or the door on AI regulation will slam shut at least for the next decade, if not forever, and we will be entirely at Silicon Valley’s mercy."
theme3_8fabf966d580,safety_alignment,regulation,causal,2025-05-16,2025-05-16,1,1,2023-12-31,no,none,stable,0,no,cluster2_3b74d3082777,"The real question is why the US government continues to place so much faith in Altman, given (a) his own track record, and (b) his own 2023 testimony to the Senate that AI could cause “cause significant harm to the world”."
theme3_1ebd4ce067d9,market_hype_bubble,llms,normative,2023-02-18,2023-02-18,1,1,,no,none,stable,0,no,cluster2_7c0e33ac37e0,"Needless to say — or, rather, this should be needless to say, but this obvious fact can get buried beneath the ongoing avalanche of hype — ChatGPT made all the same kinds of mistakes that its predecessors did ."
theme3_855ae3bb7be1,openai_governance,llms,descriptive,2023-08-14,2023-08-14,1,1,,no,none,stable,0,no,cluster2_8b86fc096dd3,"AI is not a magical economic engine; it works brilliantly in some use cases (such as selling ads, helping coders write code faster, playing classic board games) but in many others it simply isn’t reliable enough (e.g., truly autonomous driverless cars, medical diagnosis, ChatGPT-style search)."
theme3_90cdb2bb15e4,agents_reliability,llms,descriptive,2024-02-10,2024-02-10,1,1,,no,none,stable,0,no,cluster2_26f2bdfc8da4,The best realistic case is that LLM-based agents never see widespread release.
theme3_54e37b5b2981,self_driving_robotics,llms,descriptive,2025-07-13,2025-07-13,1,1,2022-12-31,no,none,stable,0,no,cluster2_c8ba0456cdff,"LeCun wrote on Facebook, in May 2022, a few months before he turned against LLMs, “Not only is Al not ""hitting a wall"", cars with Al-powered driving assistance aren't hitting walls, or anything else, either.” Musk circulated a meme that mentioned me which featured a cartoon of deep learning-powered robot smashing over walls and buildings ."
theme3_8fe0ad899072,scaling_limits,llms,causal,2025-10-22,2025-10-22,1,1,,no,none,stable,0,no,cluster2_e398112e4c83,"Meanwhile, just as I writing this, MSNBC reported that Airbnb CEO Chesky said on CNBC that “ ChatGPT isn’t ‘quite robust enough’ to integrate into travel app ”. § If and when the whole generative AI edifice comes crashing down, it will be in no small part because too many otherwise smart investors read too many graphs—from “LLM scaling” to usage statistics—too naively, assuming that things had been going up for a while would continue to go up at the same pace, indefinitely."
